datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,CE,CE,8025.249,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,DAY,DAY,1400.000,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,DEOK,DEOK,2145.645,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,SERC,SOUTH,DOM,DOM,9181.513,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1638.534,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,DUQ,DUQ,1144.332,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,DPL,EASTON,22.667,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,SERC,WEST,EKPC,EKPC,1117.315,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,JC,JC,1863.907,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,ME,ME,1344.352,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,ATSI,OE,5199.264,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,OVEC,OVEC,47.000,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,WEST,ATSI,PAPWR,409.277,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PE,PE,3260.491,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,1983.690,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PL,PLCO,3657.268,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PN,PN,1523.183,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PS,PS,3774.869,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,RECO,RECO,115.554,False
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PEP,SMECO,303.484,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,PL,UGI,105.302,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RFC,MIDATL,AE,VMEU,59.948,True
11/1/2020 10:00:00 AM,11/1/2020 5:00:00 AM,RTO,RTO,RTO,RTO,67515.957,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,AE,AECO,818.679,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,AEP,AEPAPT,3731.382,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,AEP,AEPIMP,2529.208,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,AEP,AEPKPT,526.475,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,AEP,AEPOPT,4863.805,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,AP,AP,4670.242,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,BC,BC,2666.354,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,CE,CE,8256.145,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,DAY,DAY,1449.000,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,DEOK,DEOK,2210.330,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,SERC,SOUTH,DOM,DOM,9480.364,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,1687.361,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,DUQ,DUQ,1168.342,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,DPL,EASTON,23.725,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,SERC,WEST,EKPC,EKPC,1159.903,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,JC,JC,1947.520,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,ME,ME,1403.523,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,ATSI,OE,5383.214,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,OVEC,OVEC,42.000,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,WEST,ATSI,PAPWR,419.455,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,PE,PE,3373.700,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2051.013,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,PL,PLCO,3782.425,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,PN,PN,1601.635,True
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,PS,PS,3804.156,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,RECO,RECO,118.550,False
11/1/2020 11:00:00 AM,11/1/2020 6:00:00 AM,RFC,MIDATL,PEP,SMECO,317.068,True
