datetime_date,datetime_time,mw
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,5705.957
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,40
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,462.903
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,3629.031
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,2172.169
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,4115.034
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,1729.513
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,3929.922
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,126.75
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,346.667
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,123.572
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,60.36
11/1/2020 1:00:00 PM,11/1/2020 8:00:00 AM,74208.439
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,828.372
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,4005.451
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,2783.603
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,529.169
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,5355.499
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,5027.935
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,3038.704
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,8976.552
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,1607
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,2437.699
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,10438.347
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,1837.944
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,1274.053
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,26.242
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,1300.283
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,2003.981
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,1577.161
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,5860.847
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,37
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,466.899
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,3758.576
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,2327.88
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,4209.242
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,1791.4
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,3897.931
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,129.369
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,370.006
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,126.088
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,58.946
11/1/2020 2:00:00 PM,11/1/2020 9:00:00 AM,76082.179
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,870.183
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,3954.243
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,2851.182
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,523.059
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,5409.199
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,5080.891
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,3182.183
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,9197.01
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,1628
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,2473.957
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,10575.99
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,1877.327
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,1215.806
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,27.291
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,1266.63
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,2075.301
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,1613.482
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,6033.326
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,33
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,492.349
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,3842.821
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,2436.352
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,4281.139
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,1785.929
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,4042.603
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,128.782
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,384.742
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,127.525
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,64.345
11/1/2020 3:00:00 PM,11/1/2020 10:00:00 AM,77474.647
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,911.81
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,3835.648
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,2923.173
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,515.306
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,5437.576
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,5098.848
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,3253.595
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,9197.642
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,1646
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,2483.776
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,10696.144
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,1916.242
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,1233.731
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,27.895
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,1256.249
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,2211.842
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,1646.463
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,6097.923
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,36
11/1/2020 4:00:00 PM,11/1/2020 11:00:00 AM,485.326
