route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,sum_ridership,day_count
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-07-01,201907,SUN.,1457,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-07-01,201907,WEEKDAY,2194,,22
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-08-01,201908,SAT.,2159,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-08-01,201908,SUN.,1434,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-08-01,201908,WEEKDAY,2209,,22
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-09-01,201909,SAT.,2088,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-09-01,201909,SUN.,1404,,6
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-09-01,201909,WEEKDAY,2224,,20
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-10-01,201910,SAT.,1974,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-10-01,201910,SUN.,1388,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-10-01,201910,WEEKDAY,2176,,23
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-11-01,201911,SAT.,1836,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-11-01,201911,SUN.,1186,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-11-01,201911,WEEKDAY,2037,,20
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-12-01,201912,SAT.,1680,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-12-01,201912,SUN.,1174,,6
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2019-12-01,201912,WEEKDAY,1994,,21
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-01-01,202001,SAT.,1799,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-01-01,202001,SUN.,1125,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-01-01,202001,WEEKDAY,1953,,22
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-02-01,202002,SAT.,1769,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-02-01,202002,SUN.,1286,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-02-01,202002,WEEKDAY,1979,,20
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-03-01,202003,SAT.,1386,,4
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-03-01,202003,SUN.,1007,,5
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-03-01,202003,WEEKDAY,1611,,22
,,,,,,,,,,
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-04-01,202004,SAT.,1365,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-04-01,202004,SUN.,841,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-04-01,202004,WEEKDAY,1522,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-05-01,202005,SAT.,1623,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-05-01,202005,SUN.,1154,,6
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,1729,,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-06-01,202006,SAT.,1436,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-06-01,202006,SUN.,1110,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-06-01,202006,WEEKDAY,1576,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-07-01,202007,SAT.,1299,,3
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-07-01,202007,SUN.,934,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-07-01,202007,WEEKDAY,1455,,23
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-08-01,202008,SAT.,1313,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-08-01,202008,SUN.,889,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-08-01,202008,WEEKDAY,1357,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-09-01,202009,SAT.,1338,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-09-01,202009,SUN.,866,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-09-01,202009,WEEKDAY,1337,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-10-01,202010,SAT.,1268,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-10-01,202010,SUN.,765,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2020-10-01,202010,WEEKDAY,1278,,22
