route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
60,60,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,510,20
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,4219,20
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,3685,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-07-20,201707,WEEKDAY,5799,20
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,4332,20
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1672,20
65,65,65 - SQUIRREL HILL,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,345,20
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1938,20
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-07-01,201707,WEEKDAY,315,20
69,69,69 - TRAFFORD,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1522,20
71,71,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,103,20
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-07-01,201707,WEEKDAY,5078,20
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-07-01,201707,WEEKDAY,3899,20
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-07-01,201707,WEEKDAY,5149,20
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-07-01,201707,WEEKDAY,3757,20
74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-07-01,201707,WEEKDAY,985,20
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-07-01,201707,WEEKDAY,2808,20
77,77,77 - PENN HILLS,East Liberty,Bus,2017-07-01,201707,WEEKDAY,2374,20
78,78,78 - OAKMONT,East Liberty,Bus,2017-07-01,201707,WEEKDAY,143,20
79,79,79 - EAST HILLS,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1017,20
81,81,81 - OAK HILL,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1792,20
82,82,82 - LINCOLN,East Liberty,Bus,2017-07-01,201707,WEEKDAY,4034,20
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,2361,20
86,86,86 - LIBERTY,East Liberty,Bus,2017-07-01,201707,WEEKDAY,2888,20
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-07-01,201707,WEEKDAY,2642,20
88,88,88 - PENN,East Liberty,Bus,2017-07-01,201707,WEEKDAY,3254,20
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-07-01,201707,WEEKDAY,425,20
91,91,91 - BUTLER STREET,Ross,Bus,2017-07-01,201707,WEEKDAY,4308,20
93,93,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1435,20
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-07-01,201707,WEEKDAY,3737,20
G3,G3,G3 - MOON FLYER,Collier,Bus,2017-07-01,201707,WEEKDAY,890,20
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2017-07-01,201707,WEEKDAY,571,20
O1,O1,O1 - ROSS FLYER,Ross,Bus,2017-07-01,201707,WEEKDAY,1081,20
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2017-07-01,201707,WEEKDAY,1427,20
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2017-07-01,201707,WEEKDAY,126,20
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-07-01,201707,WEEKDAY,10691,20
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,723,20
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1194,20
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2017-07-01,201707,WEEKDAY,282,20
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,940,20
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,389,20
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1492,20
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,2027,20
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,485,20
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,798,20
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,295,20
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,769,20
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,561,20
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1040,20
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2017-07-01,201707,WEEKDAY,1020,20
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,680,20
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,266,20
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-07-01,201707,WEEKDAY,1786,20
